stringency,precarity_-1SD,precarity_mean,precarity_+1SD
0.27,0.48334770055892634,0.4558264925589263,0.4283052845589263
0.275,0.48635053309622034,0.45780058309622035,0.4292506330962203
0.28,0.4892283523691834,0.4596307843691834,0.4300332163691834
0.28500000000000003,0.4919843130865301,0.46132025108653013,0.43065618908653014
0.29,0.4946214843844997,0.4628720523844997,0.4311226203844997
0.295,0.49714285214803605,0.46428917414803605,0.431435496148036
0.3,0.49955132126900675,0.4655745212690068,0.43159772126900675
0.305,0.5018497178431651,0.46673091984316517,0.4316121218431651
0.31,0.5040407913075198,0.46776111930751973,0.43148144730751975
0.315,0.5061272165197283,0.46866779451972823,0.4312083725197282
0.32,0.5081115957810842,0.46945354778108417,0.43079549978108417
0.325,0.5099964608046335,0.4701209108046335,0.43024536080463344
0.33,0.5117842746299011,0.4706723466299011,0.4295604186299011
0.335,0.5134774334856835,0.4711102514856836,0.4287430694856835
0.34,0.5150782686023107,0.47143695660231066,0.4277956446023106
0.34500000000000003,0.5165890479747488,0.47165472997474883,0.4267204119747488
0.35000000000000003,0.5180119780778817,0.47176577807788167,0.42551957807788165
0.355,0.5193492055352612,0.47177224753526126,0.4241952895352612
0.36,0.5206028187425935,0.47167622674259346,0.42274963474259347
0.365,0.5217748494471888,0.47147974744718874,0.42118464544718875
0.37,0.5228672742845661,0.47118478628456617,0.4195022982845662
0.375,0.523882016273379,0.47079326627337903,0.417704516273379
0.38,0.5248209462697891,0.4703070582697892,0.4157931702697891
0.385,0.5256858843823913,0.46972798238239133,0.41377008038239127
0.39,0.5264786013487565,0.4690578093487564,0.41163701734875646
0.395,0.5272008198746371,0.4682982618746371,0.40939570387463703
0.4,0.5278542159368453,0.46745101593684535,0.4070478159368453
0.405,0.5284404200507901,0.46651770205079,0.40459498405079
0.41000000000000003,0.5289610185036323,0.4654999065036323,0.40203879450363234
0.41500000000000004,0.52941755455399,0.46439917255399,0.39938079055399
0.42,0.5298115295991014,0.4632170015991014,0.3966224735991014
0.425,0.5301444043103279,0.4619548543103279,0.39376530431032786
0.43,0.5304175997378568,0.4606141517378568,0.3908107037378568
0.435,0.5306324983854378,0.45919627638543775,0.3877600543854377
0.44,0.5307904452559672,0.4577025732559672,0.3846147012559672
0.445,0.5308927488687115,0.45613435086871157,0.3813759528687115
0.45,0.5309406822489361,0.45449288224893614,0.37804508224893607
0.455,0.5309354838906919,0.4527794058906919,0.37462332789069186
0.46,0.5308783586934861,0.4509951266934861,0.3711118946934861
0.465,0.5307704788735438,0.4491412168735438,0.3675119548735438
0.47000000000000003,0.530612984850353,0.44721881685035303,0.363824648850353
0.47500000000000003,0.5304069861091611,0.4452290361091611,0.3600510861091611
0.48,0.530153562040076,0.443172954040076,0.356192346040076
0.485,0.5298537627544061,0.44105162075440607,0.35224947875440604
0.49,0.5295086098788574,0.43886605787885746,0.3482235058788574
0.495,0.5291190973281872,0.43661725932818723,0.34411542132818723
