path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
AD<-frame,2400,-0.23739953500314273,-0.2341330290938756,0.0032665059092671367,1.3759529517234035,0.02961074527927611,0.02945949590432207,0.028839968464963308,0.944,1.0
AD<-stringency2,200,1.312633694222495,1.3393411842845284,0.026707490062033434,2.0346491317086435,0.8698144542698101,0.8702750439576818,0.845138924290881,0.934,0.374
AD<-stringency2,400,1.312633694222495,1.321138042782188,0.008504348559692954,0.6478843714829222,0.564972064056565,0.5654738106056482,0.5927519334376133,0.964,0.584
AD<-stringency2,800,1.312633694222495,1.2760060441748307,-0.03662765004766433,-2.790393863029082,0.41979276032836477,0.41861061449661335,0.41466956712141845,0.952,0.844
AD<-stringency2,1200,1.312633694222495,1.311487449345182,-0.001146244877312963,-0.08732404800800413,0.33396984778129296,0.334302350384628,0.33755973599192235,0.958,0.974
AD<-stringency2,1600,1.312633694222495,1.2627166699411823,-0.04991702428131273,-3.802814486705811,0.3048981560005197,0.3010855047686282,0.29319126373345356,0.926,0.992
AD<-stringency2,2400,1.312633694222495,1.274575653916912,-0.03805804030558302,-2.899364877883676,0.2506064817957387,0.24794787877154975,0.23893138712377918,0.944,1.0
AD<-stringency:precarity,200,0.7283184656902487,0.7346396152003032,0.006321149510054469,0.8679100980990577,0.17304573965692735,0.17310343926003297,0.17886038836883858,0.954,0.982
AD<-stringency:precarity,400,0.7283184656902487,0.7333216350984537,0.005003169408204999,0.6869480376906935,0.12036461236844233,0.12038102586893291,0.12460400957182256,0.964,1.0
AD<-stringency:precarity,800,0.7283184656902487,0.7274921212386879,-0.0008263444515608231,-0.11345922017458912,0.0842542886994067,0.08433461313740888,0.08695704271690329,0.944,1.0
AD<-stringency:precarity,1200,0.7283184656902487,0.7317229191249693,0.0034044534347206223,0.4674402195047256,0.07033047197352825,0.07031837834803256,0.07072705435478073,0.956,1.0
AD<-stringency:precarity,1600,0.7283184656902487,0.7367456627645439,0.008427197074295179,1.1570758495456939,0.06129346027367415,0.06077217402778668,0.061461325097892906,0.946,1.0
AD<-stringency:precarity,2400,0.7283184656902487,0.7305654206592352,0.0022469549689865254,0.3085127008078719,0.04948156321286507,0.049480024626410296,0.05009621875717437,0.938,1.0
BSE<-int:sac,200,0.22423675373640375,0.2612478570527513,0.03701110331634752,16.50536885656577,0.8326842747295523,0.83269444557567,0.8129384965514446,0.954,0.056
BSE<-int:sac,400,0.22423675373640375,0.335125924142999,0.11088917040659527,49.451826499617404,0.5731742682660744,0.562908576787144,0.5683606544467882,0.958,0.094
BSE<-int:sac,800,0.22423675373640375,0.2674201360735614,0.043183382337157655,19.257941268507786,0.40336734267600133,0.4014507866421646,0.4006920824000989,0.946,0.086
BSE<-int:sac,1200,0.22423675373640375,0.30136577288431066,0.0771290191479069,34.39624319491806,0.3324090905237347,0.3236609811663392,0.32658889468319363,0.942,0.144
BSE<-int:sac,1600,0.22423675373640375,0.3088183934016226,0.08458163966521884,37.71979314518154,0.3034283264950542,0.2916931011897533,0.28302179313854375,0.946,0.206
BSE<-int:sac,2400,0.22423675373640375,0.2955442869055468,0.07130753316914304,31.80010947386838,0.2443691949796783,0.23396799185095626,0.23066993013717083,0.938,0.254
BSE<-intensity|no_sacrifice,200,0.07753995743398714,0.0794915572961566,0.0019515998621694591,2.516895709938666,0.48220958329630814,0.48268856417025113,0.4664439053844043,0.946,0.062
BSE<-intensity|no_sacrifice,400,0.07753995743398714,0.036573159210969264,-0.04096679822301788,-52.83314510117731,0.3268705207858935,0.3246179484055832,0.32719779414404204,0.962,0.042
