policy,lambda_social,r_demarketer,Q_base,Q_treat,throughput_reduction,leakage,relative_profit_demarketers,profit_ratio_demarketers,profit_ratio_mean,profit_total_treat,profit_total_base,cs_mean_treat,cs_mean_base,rebound_mean_treat,units_lost_at_demarketers,prop_rate,d_mean,r_mean,n_exits,n_exits_demarketers,n_exits_conventional,viable,PMV,share_micro_negative,mean_micro_g,regime
0.0,0.075,0.125,1017.0757678973367,1016.9537754640164,0.00011994429242230178,0.9995080104717602,0.0,0.0,1.8075011404513617,135.16419683444644,108.00964448474681,0.38138570280485284,0.381233175895961,0.0,247.95737778560172,0.25,0.15749999999999997,0.028125,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.075,0.25,1017.0757678973367,990.7787936928929,0.025855472162913846,0.646790197252986,0.6189006246021185,0.6410530247813806,1.0417000890219348,108.62560420583927,108.00964448474681,0.38889260807765536,0.381233175895961,0.0,74.45142801792221,0.125,0.045003571199999995,0.016072704,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.075,0.375,1017.0757678973367,989.4480615969874,0.02716386248928712,0.6362611601652526,0.7213397391872669,0.7156443299259885,1.0235132152706319,111.42909797174337,108.00964448474681,0.3886560816023597,0.381233175895961,0.0,75.95478754180083,0.125,0.045003571199999995,0.024109055999999997,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.075,0.5,1017.0757678973367,988.1147394785556,0.028474799354087466,0.626107530231174,0.8278646270487241,0.7878702342347039,1.0074882539115015,114.34236256257641,108.00964448474681,0.3884230471732737,0.381233175895961,0.0,77.45817517182792,0.125,0.045003571199999995,0.032145408,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.075,0.625,1017.0757678973367,986.7789299367545,0.029788181880703705,0.6163091129218927,0.9392257254325915,0.8585830028063257,0.9934931900927735,117.38568104999851,108.00964448474681,0.38819338300681916,0.381233175895961,0.0,78.96157813728524,0.125,0.045003571199999995,0.040181760000000004,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.075,0.75,1017.0757678973367,977.5041221935712,0.03890727412135126,0.5682186780183874,1.100270135857287,0.9672916539081597,1.0224106351848505,125.61160929533784,108.00964448474681,0.3884259881843897,0.381233175895961,0.0,91.64742356653092,0.125,0.055279616,0.05922816,0,0,0,True,False,0.0,0.42942557752635613,futility
0.0,0.075,0.875,1017.0757678973367,884.8659926747721,0.1299900945392594,0.050667636493256785,1.6713510231314521,1.4147337207275044,1.4990984131707303,191.287084259807,108.00964448474681,0.40166287069977874,0.381233175895961,0.0,139.26605718380267,0.25,0.170128,0.21265999999999996,0,0,0,True,True,0.0,0.42942557752635613,niche
0.0,0.075,1.0,1017.0757678973367,847.2189495291454,0.16700507841155898,0.009841640542906371,2.3539020326902085,1.9206391959235614,1.7747539895254636,234.93260486567,108.00964448474681,0.4074135209731813,0.381233175895961,0.0,171.54510361486442,0.25,0.21853999999999998,0.31220000000000003,0,0,0,True,True,0.0,0.42942557752635613,niche
0.0,0.15,0.0,993.314283608963,993.0789373829044,0.00023693027467955365,0.9990281553902131,0.0,0.0,1.9184343447419714,129.99296525783606,102.8352214215281,0.41511535483042605,0.41481781511132726,0.0,242.16446095245416,0.25,0.15749999999999997,0.0,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.15,0.125,993.314283608963,993.0960611541205,0.00021969124822167864,0.9990988667206402,0.0,0.0,1.8229400418423094,129.9966742248298,102.8352214215281,0.41509372901716923,0.41481781511132726,0.0,242.16446095245416,0.25,0.15749999999999997,0.028125,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.15,0.25,993.314283608963,966.3155065074939,0.027180498203827036,0.6241604561738512,0.6198474693025436,0.6386629192196847,1.034399239336133,103.23886247822513,102.8352214215281,0.4238364998166543,0.41481781511132726,0.0,71.8359138759436,0.125,0.045003571199999995,0.016072704,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.15,0.375,993.314283608963,965.0593058830689,0.02844515395795643,0.6146166794911068,0.7263073709486308,0.7145205920517639,1.014281182016823,106.02443280666671,102.8352214215281,0.42353414819847574,0.41481781511132726,0.0,73.31655580886026,0.125,0.045003571199999995,0.024109055999999997,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.15,0.5,993.314283608963,963.798981985079,0.029713960738234298,0.6053961040910691,0.8370519442482819,0.787743159368545,0.9967703699659439,108.91928358959564,102.8352214215281,0.4232374811475007,0.41481781511132726,0.0,74.79728895199702,0.125,0.045003571199999995,0.032145408,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.15,0.625,993.314283608963,962.5347827037737,0.03098666898593225,0.5964830111340547,0.9528690076929385,0.8592778833201087,0.9816535923704647,111.94371504208476,102.8352214215281,0.4229461728853938,0.41481781511132726,0.0,76.27807937329447,0.125,0.045003571199999995,0.040181760000000004,0,0,0,True,False,0.0,0.42942557752635613,futility
0.0,0.15,0.75,993.314283608963,949.2537193819225,0.044357123373840304,0.49412994628901175,1.138519061442721,0.9853163753089369,1.0337394843468126,122.8337180881493,102.8352214215281,0.4232098067145989,0.41481781511132726,0.0,87.09858174805714,0.125,0.05953683456,0.0637894656,0,0,0,True,False,0.0,0.42942557752635613,futility
0.0,0.15,0.875,993.314283608963,847.3709757104803,0.14692561086329461,0.10983629958087149,1.9036203922181314,1.583342007544625,1.5569369884325182,192.49459438018658,102.8352214215281,0.44298910390594853,0.41481781511132726,0.0,163.95108880508855,0.25,0.20384,0.25479999999999997,0,0,0,True,True,0.0,0.42942557752635613,niche
0.0,0.15,1.0,993.314283608963,770.0472617245618,0.22476976881195687,-0.27013061264523786,2.9479911810497756,2.359864788157131,2.1162113010309467,271.8566598297555,102.8352214215281,0.4558400875136681,0.41481781511132726,0.0,175.7827263287624,0.375,0.2838528,0.405504,0,0,0,True,True,0.0,0.42942557752635613,tipping
0.0,0.22499999999999998,0.0,965.0391901950213,964.6188837144578,0.0004355330693654311,0.998213523086405,0.0,0.0,1.94260614809144,123.82858719159356,96.67789161417467,0.45529255923757894,0.4547557046102084,0.0,235.2711514853943,0.25,0.15749999999999997,0.0,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.22499999999999998,0.125,965.0391901950213,955.7515162319244,0.009624141752440165,0.9244241405195266,0.4766585585520639,0.5124827205231117,1.3864734384033592,109.08748922352576,96.67789161417467,0.45811810880193926,0.4547557046102084,0.0,122.8920719783095,0.125,0.09924405119999999,0.017722152,1,1,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.22499999999999998,0.25,965.0391901950213,937.0908329865024,0.028960852048786685,0.593776108608666,0.6201890749937092,0.632381278248091,1.0209315243276453,96.79855901838155,96.67789161417467,0.4655682537756064,0.4547557046102084,0.0,68.80037782316207,0.125,0.045003571199999995,0.016072704,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.22499999999999998,0.375,965.0391901950213,935.935858961738,0.030157667718553462,0.5857241545651344,0.7319274894828347,0.7098193500889438,0.9987384661668568,99.56327456095707,96.67789161417467,0.46517136283811755,0.4547557046102084,0.0,70.25109369515276,0.125,0.045003571199999995,0.024109055999999997,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.22499999999999998,0.5,965.0391901950213,934.7742239173201,0.03136138571904532,0.5779068509778511,0.8482120052665056,0.7842900256766141,0.9797150630004865,102.43648768508726,96.67789161417467,0.46478363924166916,0.4547557046102084,0.0,71.70210259942665,0.125,0.045003571199999995,0.032145408,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.22499999999999998,0.625,965.0391901950213,933.6060595885568,0.032571869542533584,0.5703120127036092,0.9698785560837518,0.8568754684567113,0.9635452142234447,105.43842669102922,96.67789161417467,0.4644049142293473,0.4547557046102084,0.0,73.15338463205046,0.125,0.045003571199999995,0.040181760000000004,0,0,0,True,False,0.0,0.42942557752635613,futility
0.0,0.22499999999999998,0.75,965.0391901950213,872.8349660351442,0.09554453860184046,0.22122532586290167,1.3859075457711332,1.1721796262712951,1.2427654922982112,142.05497468903428,96.67789161417467,0.4743594002834671,0.4547557046102084,0.0,118.39653653611892,0.25,0.12724992,0.1363392,0,0,0,True,False,0.0,0.42942557752635613,niche
0.0,0.22499999999999998,0.875,965.0391901950213,800.9114721330586,0.1700736298893672,-0.06370640738690003,2.1568052010068848,1.749446031911254,1.6397904040535405,195.44559368642518,96.67789161417467,0.4891361398640899,0.4547557046102084,0.0,154.29795000028125,0.25,0.21853999999999998,0.27317499999999995,0,0,0,True,True,0.0,0.42942557752635613,niche
0.0,0.22499999999999998,1.0,965.0391901950213,730.8469812101474,0.2426763714513468,-0.4009323436058039,3.237976959883446,2.5230430843364893,2.1818698149786067,270.7104944610345,96.67789161417467,0.5028301885270108,0.4547557046102084,0.0,167.1688215735643,0.5,0.2950528,0.421504,0,0,0,True,True,0.0,0.42942557752635613,tipping
0.0,0.3,0.0,931.1181527269977,930.3757482162322,0.0007973257836195938,0.9967295156091688,0.0,0.0,1.964073767455839,116.41160773527366,89.29107198318344,0.5036171453111922,0.5026604170202162,0.0,227.0013924685938,0.25,0.15749999999999997,0.0,2,2,0,False,False,0.0,0.42942557752635613,collapse
