t,Q_total,cs_mean,rebound_mean,profit_total,profit_ratio_demarketers,profit_ratio_conventional,prop_rate,d_mean,r_mean,n_alive
92,1263.7408567055895,0.378289016597787,0.0,131.21844805215022,0.32398119537541326,1.0814319832879853,0.0,0.024,0.0,8
93,1263.7804502605918,0.3782492778453839,0.0,131.22700160672633,0.3240095634623912,1.0815014414950137,0.0,0.024,0.0,8
94,1263.8155321774102,0.37821406707107047,0.0,131.23458049280367,0.3240346966931656,1.0815629853474706,0.0,0.024,0.0,8
95,1263.846616552542,0.37818286834076065,0.0,131.24129577302628,0.32405696402585304,1.0816175166294513,0.0,0.024,0.0,8
96,1263.87415890169,0.37815522450772143,0.0,131.24724585452947,0.3240766923196776,1.0816658343754513,0.0,0.024,0.0,8
97,1263.8985628349842,0.37813073051413826,0.0,131.25251793102694,0.32409417114197425,1.0817086465772123,0.0,0.024,0.0,8
98,1263.9201859715663,0.3781090274559227,0.0,131.25718926057263,0.32410965702560407,1.081746580556833,0.0,0.024,0.0,8
99,1263.9393451802084,0.37808979732379566,0.0,131.26132829772044,0.32412337723973944,1.0817801921580728,0.0,0.024,0.0,8
100,1263.9563212227858,0.3780727583435906,0.0,131.26499569667902,0.3241355331297885,1.0818099738905116,0.0,0.024,0.0,8
101,1263.9713628686222,0.378057660847497,0.0,131.26824520015572,0.32414630307575837,1.0818363621458125,0.0,0.024,0.0,8
102,1263.9846905400125,0.3780442836157493,0.0,131.27112442691765,0.3241558451127558,1.0818597435918051,0.0,0.024,0.0,8
103,1263.9964995423386,0.37803243063515696,0.0,131.27367556961036,0.3241642992522357,1.0818804608380594,0.0,0.024,0.0,8
104,1264.0069629261275,0.3780219282269776,0.0,131.2759360130624,0.32417178953825354,1.0818988174559558,0.0,0.024,0.0,8
105,1264.0162340229658,0.37801262250205114,0.0,131.27793888213148,0.32417842586895135,1.081915082426762,0.0,0.024,0.0,8
106,1264.0244486924623,0.3780043771059041,0.0,131.27971352712675,0.3241843056102023,1.0819294940829187,0.0,0.024,0.0,8
107,1264.03172731316,0.3779970712207855,0.0,131.2812859539151,0.32418951502504667,1.081942263600245,0.0,0.024,0.0,8
108,1264.0381765465952,0.3779905977953569,0.0,131.2826792050189,0.32419413054005486,1.0819535780922531,0.0,0.024,0.0,8
109,1264.0438909003333,0.3779848619760984,0.0,131.28391369728638,0.3241982198671757,1.0819636033518838,0.0,0.024,0.0,8
110,1264.0489541129127,0.37797977971744473,0.0,131.28500752108684,0.3242018429976125,1.0819724862808617,0.0,0.024,0.0,8
111,1264.0534403809536,0.37797527655028945,0.0,131.2859767054091,0.3242050530822953,1.0819803570422184,0.0,0.024,0.0,8
112,1264.057415446459,0.37797128649080736,0.0,131.2868354527555,0.32420789721193805,1.0819873309675763,0.0,0.024,0.0,8
113,1264.060937560208,0.37796775107361175,0.0,131.28759634726862,0.3242104171081121,1.0819935102471012,0.0,0.024,0.0,8
114,1264.0640583353745,0.37796461849507623,0.0,131.2882705391415,0.32421264973547,1.0819989854268992,0.0,0.024,0.0,8
115,1264.0668235038765,0.37796184285426976,0.0,131.28886790801602,0.32421462784420396,1.0820038367357958,0.0,0.024,0.0,8
116,1264.0692735865377,0.37795938348038155,0.0,131.2893972077598,0.3242163804505566,1.0820081352609308,0.0,0.024,0.0,8
117,1264.0714444868868,0.37795720433678315,0.0,131.28986619474824,0.3242179332626298,1.082011943989407,0.0,0.024,0.0,8
118,1264.0733680172893,0.37795527349299163,0.0,131.29028174152614,0.32421930905752006,1.0820153187312438,0.0,0.024,0.0,8
119,1264.0750723651447,0.3779535626568019,0.0,131.2906499375226,0.32422052801555545,1.0820183089371886,0.0,0.024,0.0,8
