phi_credibility_erosion,r_demarketer,throughput_reduction,relative_profit_demarketers,cs_mean_treat,leakage,regime,PMV
0.8,0.4,0.06642432679342337,0.6175548181119997,0.6360727930684049,0.10592899341389073,strained,False
0.8,0.45,0.15765926903978061,1.0253021414812484,0.6564948395340064,-0.33774303109470716,niche,True
0.8,0.5,0.16825585023773024,1.2269098134951189,0.6578349152931154,-0.24268068308943058,niche,True
0.8,0.55,0.1760077630467436,1.4018835036678092,0.6594432777356672,-0.20117941376012483,niche,True
0.8,0.6000000000000001,0.21245387783185044,1.7350797160393092,0.6653587314960848,-0.45893558170154125,tipping,True
0.8,0.65,0.2414650621557155,1.9725533048776724,0.6703809783452553,-0.506150548789156,tipping,True
0.8,0.7000000000000001,0.24135432846166874,2.1597545987508244,0.6668064474327641,-0.47621267272932655,tipping,True
0.8,0.75,0.24136869150790272,2.358405071677265,0.6633893317269377,-0.4491385025959507,tipping,True
0.8,0.8,0.26063172368862403,2.6840647687815222,0.6647770402503087,-0.552890730892146,tipping,True
0.8,0.8500000000000001,0.26093124174539034,2.973013740455155,0.6625651133321775,-0.6583706618843364,tipping,True
0.8,0.9,0.26256902103330326,3.2188167965871233,0.6600992111514271,-0.6419929132568871,tipping,True
0.8,0.9500000000000001,0.26425455280333654,3.480585383682707,0.6576970362209403,-0.6270279785742112,tipping,True
0.8,1.0,0.273943406242877,3.7887696266559705,0.6568613058583188,-0.6691457404426686,tipping,True
1.0,0.0,0.03360797968747847,0.0,0.6239197535585618,0.86214622023598,collapse,False
1.0,0.05,0.03346939492147738,0.0,0.623761672310886,0.8627146695741614,collapse,False
1.0,0.1,0.033338313064569455,0.0,0.623612187969587,0.8632523433528675,collapse,False
1.0,0.15000000000000002,0.06565054289800756,0.31110757054179267,0.6386756581083792,0.07954354045187917,strained,False
1.0,0.2,0.06556220803788679,0.37056580003176004,0.6378760912849045,0.08824040174325276,strained,False
1.0,0.25,0.06549856622574658,0.43054790055601144,0.6371054551874111,0.09649192654913485,strained,False
1.0,0.30000000000000004,0.0654586368473962,0.4910791547065774,0.6363625912202884,0.10431957666941205,strained,False
1.0,0.35000000000000003,0.0654407030704435,0.5521889728092418,0.6356454424041287,0.11175295738329927,strained,False
1.0,0.4,0.06544254929854465,0.6139113342573616,0.6349515669422113,0.1188266985833244,strained,False
1.0,0.45,0.07569908855442684,0.7317332955747299,0.6348377002489565,0.08108032063263426,strained,False
1.0,0.5,0.1357199803672641,1.064486112665139,0.6455729409244539,-0.20794720405923695,niche,True
1.0,0.55,0.16396941152150957,1.2895251440049036,0.651185930425756,-0.16944293376224806,niche,True
1.0,0.6000000000000001,0.1694541492408882,1.4283778416998423,0.6509582802758281,-0.11029567058843881,niche,True
1.0,0.65,0.1693398567669241,1.5775147930045919,0.6484891033143636,-0.09042617651380347,niche,True
1.0,0.7000000000000001,0.18203476975658797,1.8007917219986704,0.6478990117828289,-0.16521963686712993,niche,True
1.0,0.75,0.20681521448661191,2.081008934781023,0.6503096775294926,-0.31127424216537003,tipping,True
1.0,0.8,0.20744968244184028,2.2596246086397143,0.6478084919835282,-0.29375325676478825,tipping,True
1.0,0.8500000000000001,0.2085082137679586,2.3096565581156905,0.6414780866792982,-0.1730085097703613,tipping,True
1.0,0.9,0.20841891350837363,2.5068079803162044,0.6386082895789597,-0.154905437441484,tipping,True
1.0,0.9500000000000001,0.2084486226271135,2.720938228922078,0.6358867057642371,-0.13864008764229507,tipping,True
1.0,1.0,0.20859062982391682,2.9550374621187934,0.6333035618642723,-0.12404118508567152,tipping,True
